weight,cost
0.5,41.90
1,46.30
1.5,50.75
2,55.15
2.5,59.60
3,63.90
3.5,68.10
4,72.40
4.5,76.70
5,83.60
5.5,83.35
6,85.70
6.5,88.15
7,90.40
7.5,92.75
8,95.10
8.5,97.50
9,99.85
9.5,102.25
10,104.60
11,108.70
12,112.90
13,117.00
14,121.20
15,125.30
16,129.45
17,133.60
18,137.75
19,141.90
20,146.02
21,150.15
22,154.35
23,158.50
24,162.65
25,166.80
26,170.90
27,175.10
28,179.20
29,183.40
30,187.50
31,190.70
32,193.90
33,197.10
34,200.30
35,203.50
36,206.70
37,209.90
38,213.10
39,216.30
40,224.00
41,227.20
42,230.40
43,233.60
44,236.80
45,240.00
46,243.20
47,246.40
48,249.60
49,252.80
50,264.60
